Commands,encoded_intent
Shut off fans in the entire house,0
Deactivate fans in the entire house,0
Kill fans in the entire house,0
Disable fans in the entire house,0
Stop fans in the entire house,0
Turn off all the room fans,0
Switch off all the room fans,0
Power down all the room fans,0
Shut off all the room fans,0
Deactivate all the room fans,0
Kill all the room fans,0
Disable all the room fans,0
Stop all the room fans,0
Turn off all the indoor fans,0
Switch off all the indoor fans,0
Power down all the indoor fans,0
Shut off all the indoor fans,0
Deactivate all the indoor fans,0
Kill all the indoor fans,0
Disable all the indoor fans,0
Stop all the indoor fans,0
Turn off all fans inside,0
Switch off all fans inside,0
Power down all fans inside,0
Shut off all fans inside,0
Deactivate all fans inside,0
Kill all fans inside,0
Disable all fans inside,0
Stop all fans inside,0
Turn off the fans everywhere,0
Switch off the fans everywhere,0
Power down the fans everywhere,0
Shut off the fans everywhere,0
Deactivate the fans everywhere,0
Kill the fans everywhere,0
Disable the fans everywhere,0
Stop the fans everywhere,0
Turn off fans in all rooms of the house,0
Switch off fans in all rooms of the house,0
Power down fans in all rooms of the house,0
Shut off fans in all rooms of the house,0
Deactivate fans in all rooms of the house,0
Kill fans in all rooms of the house,0
Disable fans in all rooms of the house,0
Stop fans in all rooms of the house,0
Turn off all room fans,0
Switch off all room fans,0
Power down all room fans,0
Shut off all room fans,0
Deactivate all room fans,0
Kill all room fans,0
Disable all room fans,0
Stop all room fans,0
Turn off fans in the house,0
Switch off fans in the house,0
Power down fans in the house,0
Shut off fans in the house,0
Deactivate fans in the house,0
Kill fans in the house,0
Disable fans in the house,0
Stop fans in the house,0
Turn off all the fans inside the house,0
Switch off all the fans inside the house,0
Power down all the fans inside the house,0
Shut off all the fans inside the house,0
Deactivate all the fans inside the house,0
Kill all the fans inside the house,0
Disable all the fans inside the house,0
Stop all the fans inside the house,0
Turn off fans in every room,0
Switch off fans in every room,0
Power down fans in every room,0
Shut off fans in every room,0
Deactivate fans in every room,0
Kill fans in every room,0
Disable fans in every room,0
Stop fans in every room,0
Turn off all house fans in every room,0
Switch off all house fans in every room,0
Power down all house fans in every room,0
Shut off all house fans in every room,0
Deactivate all house fans in every room,0
Kill all house fans in every room,0
Disable all house fans in every room,0
Stop all house fans in every room,0
Turn off the fans in the entire house,0
Switch off the fans in the entire house,0
Power down the fans in the entire house,0
Shut off the fans in the entire house,0
Deactivate the fans in the entire house,0
Kill the fans in the entire house,0
Disable the fans in the entire house,0
Stop the fans in the entire house,0
Turn off the room fans in every room,0
Switch off the room fans in every room,0
Power down the room fans in every room,0
Shut off the room fans in every room,0
Deactivate the room fans in every room,0
Kill the room fans in every room,0
Disable the room fans in every room,0
Stop the room fans in every room,0
Turn off all fans throughout the house,0
Switch off all fans throughout the house,0
Power down all fans throughout the house,0
Shut off all fans throughout the house,0
Deactivate all fans throughout the house,0
Kill all fans throughout the house,0
Disable all fans throughout the house,0
Stop all fans throughout the house,0
Turn off all fans in the home,0
Switch off all fans in the home,0
Power down all fans in the home,0
Shut off all fans in the home,0
Deactivate all fans in the home,0
Kill all fans in the home,0
Disable all fans in the home,0
Stop all fans in the home,0
Turn off every house fan,0
Switch off every house fan,0
Power down every house fan,0
Shut off every house fan,0
Deactivate every house fan,0
Kill every house fan,0
Disable every house fan,0
Stop every house fan,0
Turn off every indoor fan,0
Switch off every indoor fan,0
Power down every indoor fan,0
Shut off every indoor fan,0
Deactivate every indoor fan,0
Kill every indoor fan,0
Disable every indoor fan,0
Stop every indoor fan,0
Turn off the house fans,0
Switch off the house fans,0
Power down the house fans,0
Shut off the house fans,0
Deactivate the house fans,0
Kill the house fans,0
Disable the house fans,0
Stop the house fans,0
Turn off all fans everywhere,0
Switch off all fans everywhere,0
Power down all fans everywhere,0
Shut off all fans everywhere,0
Deactivate all fans everywhere,0
Kill all fans everywhere,0
Disable all fans everywhere,0
Stop all fans everywhere,0
Turn off each fan,0
Switch off each fan,0
Power down each fan,0
Shut off each fan,0
Deactivate each fan,0
Kill each fan,0
Disable each fan,0
Stop each fan,0
Turn off fans in each room,0
Switch off fans in each room,0
Power down fans in each room,0
Shut off fans in each room,0
Deactivate fans in each room,0
Kill fans in each room,0
Disable fans in each room,0
Stop fans in each room,0
Turn off all household fans,0
Switch off all household fans,0
Power down all household fans,0
Shut off all household fans,0
Deactivate all household fans,0
Kill all household fans,0
Disable all household fans,0
Stop all household fans,0
Turn off fans in every part of the house,0
Switch off fans in every part of the house,0
Power down fans in every part of the house,0
Shut off fans in every part of the house,0
Deactivate fans in every part of the house,0
Kill fans in every part of the house,0
Disable fans in every part of the house,0
Stop fans in every part of the house,0
Turn off all the fans in the house completely,0
Switch off all the fans in the house completely,0
Power down all the fans in the house completely,0
Shut off all the fans in the house completely,0
Deactivate all the fans in the house completely,0
Kill all the fans in the house completely,0
Disable all the fans in the house completely,0
Stop all the fans in the house completely,0
Turn off the fans inside the house,0
Switch off the fans inside the house,0
Power down the fans inside the house,0
Shut off the fans inside the house,0
Deactivate the fans inside the house,0
Kill the fans inside the house,0
Disable the fans inside the house,0
Stop the fans inside the house,0
Turn off every fan inside the house,0
Switch off every fan inside the house,0
Power down every fan inside the house,0
Shut off every fan inside the house,0
Deactivate every fan inside the house,0
Kill every fan inside the house,0
Disable every fan inside the house,0
Stop every fan inside the house,0
Turn off fans throughout the house,0
Switch off fans throughout the house,0
Power down fans throughout the house,0
Shut off fans throughout the house,0
Turn on all the lights,3
Switch on all the lights,3
Power on all the lights,3
Activate all the lights,3
Illuminate all the rooms,3
Lights on in all rooms,3
Brighten up all the rooms,3
Light up the entire house,3
Turn on the lights everywhere,3
Let there be light in all rooms,3
Turn the lights on,3
Switch on the lights,3
Power up all the lights,3
Activate the lighting,3
Turn on all room lights,3
Illuminate every room,3
Lights on throughout the house,3
Turn on house lights,3
Switch on house lighting,3
Light up every room,3
Turn on the lights in each room,3
Illuminate the whole house,3
Brighten all the rooms,3
Power on the room lights,3
Lights on in every room,3
Switch the lights on,3
Turn on all the room lights,3
Activate lights in all rooms,3
Turn all lights on,3
Light up the house,3
Illuminate the rooms,3
Lights on in the house,3
Turn on all indoor lights,3
Brighten the house,3
Activate lights everywhere,3
Power up every light,3
Turn on lighting,3
Illuminate all areas,3
Switch on the lights everywhere,3
Turn on all the indoor lights,3
Brighten every room,3
Turn all the lights on,3
Power on all room lights,3
Light up the whole house,3
Switch on lights in every room,3
Illuminate each room,3
Turn on each light,3
Lights on throughout the home,3
Activate house lights,3
Switch on the lighting,3
Turn on the lights throughout the house,3
Illuminate the entire home,3
Brighten up each room,3
Power up all the lights,3
Light up all rooms,3
Switch on all the house lights,3
Turn on all lights in the house,3
Illuminate the whole home,3
Brighten every corner,3
Turn on indoor lights,3
Switch on room lights,3
Power on the lights,3
Turn on all the lights inside,3
Activate the lights everywhere,3
Illuminate all rooms,3
Turn on house lights everywhere,3
Brighten the rooms,3
Turn on lights in all rooms,3
Power on every light,3
Light up every corner,3
Turn on the lights in the entire house,3
Switch on the indoor lights,3
Illuminate every space,3
Turn on all the room lighting,3
Brighten up all rooms,3
Lights on in all areas,3
Power on all lights,3
Switch on the lights in every room,3
Illuminate the home,3
Turn on lights throughout the house,3
Light up the home,3
Brighten the entire house,3
Turn on lighting in all rooms,3
Switch on the lights in the house,3
Turn on each room's lights,3
Illuminate all the rooms,3
Brighten up the house,3
Lights on in every corner,3
Turn on lights everywhere,3
Power on house lights,3
Turn on the lights in all rooms,3
Switch on lighting in the house,3
Light up all the house,3
Illuminate every corner,3
Turn on the lights inside the house,3
Activate the lights in all rooms,3
Brighten every room in the house,3
Turn on house lighting,3
Switch on room lighting,3
Power on lights in all rooms,3
Turn on indoor lighting,3
Light up the entire home,3
Turn on the lights for all rooms,3
Illuminate the entire house,3
Brighten the home,3
Lights on in the house,3
Turn on the lights in each room,3
Switch on the lights in all rooms,3
Power on all lighting,3
Activate house lighting,3
Light up each room,3
Turn on lighting everywhere,3
Illuminate every room in the house,3
Turn on all the lights in the home,3
Brighten up the entire house,3
Lights on throughout the home,3
Turn on every light in the house,3
Switch on all indoor lights,3
Illuminate all spaces,3
Power up the lights in all rooms,3
Turn on lights inside the house,3
Light up the house everywhere,3
Turn on room lighting in every room,3
Brighten up the home,3
Lights on in every space,3
Turn on house lights in all rooms,3
Switch on all lights inside,3
Illuminate the house,3
Power on lights throughout the house,3
Turn on lighting in every room,3
Brighten the rooms up,3
Turn on the lights for the whole house,3
Switch on the lights in the entire house,3
Light up the whole home,3
Turn on the indoor lights,3
Illuminate every part of the house,3
Turn on lights throughout the home,3
Lights on in all corners,3
Turn on house lighting everywhere,3
Switch on the lights inside the house,3
Brighten every part of the house,3
Turn on all room lighting,3
Illuminate all the spaces,3
Turn on indoor lights in every room,3
Switch on the house lighting,3
Power on all the indoor lights,3
Turn on lights in the home,3
Brighten up the entire home,3
Lights on in the whole house,3
Turn on every light inside,3
Switch on lighting in all rooms,3
Illuminate the home entirely,3
Turn on the lights in the whole house,3
Light up every part of the house,3
Brighten the entire home,3
Turn on lights in each room,3
Power up all the indoor lights,3
Switch on lighting throughout the house,3
Turn on house lights in every room,3
Illuminate the entire place,3
Light up all the spaces,3
Turn on the lights inside,3
Switch on indoor lights everywhere,3
Brighten up all the spaces,3
Turn on every room's lights,3
Power on lighting in the house,3
Turn on all the lights at home,3
Illuminate each part of the house,3
Turn on room lighting everywhere,3
Brighten the whole place,3
Turn on the lights for the house,3
Switch on all the lights in the home,3
Light up the home entirely,3
Turn on the indoor lighting,3
Illuminate the house entirely,3
Turn on lights in the entire home,3
Lights on in every part of the house,3
Turn on all house lights,3
Switch on the lights in every corner,3
Brighten up the house entirely,3
Turn on lighting for the whole house,3
Illuminate every space in the house,3
Turn on room lights everywhere,3
Light up the whole place,3
Turn on every house light,3
Power up lighting in every room,3
Turn on all the lights inside the home,3
Switch on lighting for the entire house,3
Turn on house lighting in all rooms,3
Illuminate the entire building,3
Turn on all lights in the rooms,3
Brighten up every part of the home,3
Lights on throughout the entire house,3
Turn on lighting in each room,3
Switch on the lights throughout the home,3
Turn on lights in the whole home,3
Illuminate every area,3
Turn on all the indoor lights in the house,3
Light up the entire building,3
Turn on lighting everywhere in the house,3
Brighten the house entirely,3
Turn on room lights in all rooms,3
Illuminate the whole place,3
Turn on all house lighting,3
Switch on the indoor lights in the house,3
Turn on all the lights in every room,3
Light up the house completely,3
Illuminate every corner of the house,3
Turn on the lights for the entire home,3
Brighten every area in the house,3
Turn on indoor lights in all rooms,3
Power up all the lights in the home,3
Switch on lighting in the entire house,3
Turn on lights throughout the entire home,3
Light up each part of the house,3
Turn on house lights in every corner,3
Illuminate the whole home,3
Turn on all the room lights in the house,3
Brighten up the entire place,3
Turn on the lights in the entire home,3
Switch on all indoor lighting,3
Turn on house lights completely,3
Illuminate all the house,3
Turn on all lights in every part of the house,3
Light up the home everywhere,3
Turn on the indoor lighting everywhere,3
Brighten up all the corners,3
Turn on lighting in all rooms in the house,3
Switch on lighting in every room,3
Turn on every room light in the house,3
Light up every space in the home,3
Turn on lights in all the rooms in the house,3
Illuminate every room completely,3
Turn on the lights everywhere in the home,3
Power up every light in the house,3
Turn on all indoor lighting in the house,3
Brighten the entire building,3
Turn on lighting in every corner of the house,3
Switch on the room lights in the house,3
Turn on all lighting throughout the home,3
Illuminate all the rooms completely,3
Turn on house lights in the entire home,3
Light up every part of the home,3
Turn on the lights for all rooms in the house,3
Brighten up each part of the house,3
Turn on indoor lights everywhere in the house,3
Switch on all lights in the entire home,3
Turn on the lighting in every room,3
Illuminate every corner in the house,3
Turn on all room lights in the home,3
Light up the house completely,3
Turn on the lights in all the rooms,3
Brighten every room in the house,3
Turn on all indoor lights completely,3
Illuminate the whole house entirely,3
Turn on house lighting throughout the home,3
Light up the rooms in the house,3
Turn on lighting for the entire home,3
Switch on the lights in every part of the house,3
Turn on every light in the home,3
Illuminate all rooms everywhere,3
Turn on the lights in each part of the house,3
Brighten up the rooms entirely,3
Turn on lighting in all the rooms,3
Light up the entire home everywhere,3
Turn on all house lights completely,3
Switch on every light in the house,3
Turn on indoor lights in every corner,3
Illuminate the entire home completely,3
Turn on lights in all corners of the house,3
Light up the home entirely,3
Turn on lighting everywhere in the house,3
Brighten all rooms in the house,3
Turn on every light in all rooms,3
Illuminate the house everywhere,3
Turn on lights in every corner,3
Light up every room completely,3
Turn on lighting throughout the entire home,3
Turn on house lights in every part,3
Illuminate each part of the home,3
Turn on the lights completely,3
Brighten up every space in the house,3
Turn on all the lights in each room,3
Light up the rooms completely,3
Turn on indoor lighting everywhere,3
Illuminate all spaces in the house,3
Turn on all the lights throughout the home,3
Switch on the lighting everywhere,3
Turn on the lights in the entire house,3
Brighten every corner in the house,3
Turn on all room lighting in the house,3
Light up the entire house completely,3
Turn on the lights for the entire house,3
Illuminate the whole house everywhere,3
Turn on lighting in all rooms in the home,3
Switch on every room light,3
Turn on all the lights in the house,3
Light up the house everywhere,3
Turn on indoor lights completely,3
Illuminate every room entirely,3
Turn off all the lights,2
Switch off all the lights,2
Power off all the lights,2
Deactivate all the lights,2
Extinguish all the lights,2
Lights off in all rooms,2
Darken all the rooms,2
Turn off the lights everywhere,2
Switch off the lights in all rooms,2
Power down all the lights,2
Turn off the lights,2
Switch off the lights,2
Power down every light,2
Deactivate the lighting,2
Turn off all room lights,2
Extinguish every light,2
Lights off throughout the house,2
Turn off house lights,2
Switch off house lighting,2
Turn off every room light,2
Turn off the lights in each room,2
Darken the whole house,2
Extinguish the lights in all rooms,2
Power down the room lights,2
Lights off in every room,2
Switch the lights off,2
Turn off all the room lights,2
Deactivate lights in all rooms,2
Turn all lights off,2
Darken the house,2
Extinguish the lights,2
Lights off in the house,2
Turn off all indoor lights,2
Darken the house,2
Deactivate lights everywhere,2
Power down every light,2
Turn off lighting,2
Extinguish all lights,2
Switch off the lights everywhere,2
Turn off all the indoor lights,2
Darken every room,2
Turn all the lights off,2
Power down all room lights,2
Extinguish the whole house,2
Switch off lights in every room,2
Extinguish each room,2
Turn off each light,2
Lights off throughout the home,2
Deactivate house lights,2
Switch off the lighting,2
Turn off the lights throughout the house,2
Extinguish the entire home,2
Darken each room,2
Power down all the lights,2
Extinguish all rooms,2
Switch off all the house lights,2
Turn off all lights in the house,2
Extinguish the whole home,2
Darken every corner,2
Turn off indoor lights,2
Switch off room lights,2
Power down the lights,2
Turn off all the lights inside,2
Deactivate the lights everywhere,2
Extinguish all rooms,2
Turn off house lights everywhere,2
Darken the rooms,2
Turn off lights in all rooms,2
Power down every light,2
Extinguish every corner,2
Turn off the lights in the entire house,2
Switch off the indoor lights,2
Extinguish every space,2
Turn off all the room lighting,2
Darken all rooms,2
Lights off in all areas,2
Power down all lights,2
Switch off the lights in every room,2
Extinguish the home,2
Turn off lights throughout the house,2
Extinguish the home,2
Darken the entire house,2
Turn off lighting in all rooms,2
Switch off the lights in the house,2
Turn off each room's lights,2
Extinguish all the rooms,2
Darken the house,2
Lights off in every corner,2
Turn off lights everywhere,2
Power down house lights,2
Turn off the lights in all rooms,2
Switch off lighting in the house,2
Extinguish the whole house,2
Darken every corner,2
Turn off the lights inside the house,2
Deactivate the lights in all rooms,2
Darken every room in the house,2
Turn off house lighting,2
Switch off room lighting,2
Power down lights in all rooms,2
Turn off indoor lighting,2
Extinguish the entire home,2
Turn off the lights for all rooms,2
Extinguish the entire house,2
Darken the home,2
Lights off in the house,2
Turn off the lights in each room,2
Switch off the lights in all rooms,2
Power down all lighting,2
Deactivate house lighting,2
Turn off each room,2
Turn off lighting everywhere,2
Extinguish every room in the house,2
Turn off all the lights in the home,2
Darken up the entire house,2
Lights off throughout the home,2
Turn off every light in the house,2
Switch off all indoor lights,2
Extinguish all spaces,2
Power down the lights in all rooms,2
Turn off lights inside the house,2
Extinguish the house everywhere,2
Turn off room lighting in every room,2
Darken up the home,2
Lights off in every space,2
Turn off house lights in all rooms,2
Switch off all lights inside,2
Extinguish the house,2
Power down lights throughout the house,2
Turn off lighting in every room,2
Darken the rooms up,2
Turn off the lights for the whole house,2
Switch off the lights in the entire house,2
Extinguish the whole home,2
Turn off the indoor lights,2
Extinguish every part of the house,2
Turn off lights throughout the home,2
Lights off in all corners,2
Turn off house lighting everywhere,2
Switch off the lights inside the house,2
Darken every part of the house,2
Turn off all room lighting,2
Extinguish all the spaces,2
Turn off indoor lights in every room,2
Switch off the house lighting,2
Power down all the indoor lights,2
Turn off lights in the home,2
Darken up the entire home,2
Lights off in the whole house,2
Turn off every light inside,2
Switch off lighting in all rooms,2
Extinguish the home entirely,2
Turn off the lights in the whole house,2
Extinguish every part of the house,2
Darken the entire home,2
Turn off lights in each room,2
Power down all the indoor lights,2
Switch off lighting throughout the house,2
Turn off house lights in every room,2
Extinguish the entire place,2
Turn off all the spaces,2
Turn off the lights inside,2
Switch off indoor lights everywhere,2
Darken up all the spaces,2
Turn off every room's lights,2
Power down lighting in the house,2
Turn off all the lights at home,2
Extinguish each part of the house,2
Turn off room lighting everywhere,2
Darken the whole place,2
Turn off the lights for the house,2
Switch off all the lights in the home,2
Extinguish the home entirely,2
Turn off the indoor lighting,2
Extinguish the house entirely,2
Turn off lights in the entire home,2
Lights off in every part of the house,2
Turn off all house lights,2
Switch off the lights in every corner,2
Darken up the house entirely,2
Turn off lighting for the whole house,2
Extinguish every space in the house,2
Turn off room lights everywhere,2
Extinguish the whole place,2
Turn off every house light,2
Power down lighting in every room,2
Turn off all the lights inside the home,2
Switch off lighting for the entire house,2
Turn off house lighting in all rooms,2
Extinguish the entire building,2
Turn off all lights in the rooms,2
Darken up every part of the home,2
Lights off throughout the entire house,2
Turn off lighting in each room,2
Switch off the lights throughout the home,2
Turn off lights in the whole home,2
Extinguish every area,2
Turn off all the indoor lights in the house,2
Extinguish the entire building,2
Turn off lighting everywhere in the house,2
Darken the house entirely,2
Turn off room lights in all rooms,2
Extinguish the whole place,2
Turn off all house lighting,2
Switch off the indoor lights in the house,2
Turn off all the lights in every room,2
Extinguish the house completely,2
Extinguish every corner of the house,2
Turn off the lights for the entire home,2
Darken every area in the house,2
Turn off indoor lights in all rooms,2
Power down all the lights in the home,2
Switch off lighting in the entire house,2
Turn off lights throughout the entire home,2
Extinguish each part of the house,2
Turn off house lights in every corner,2
Extinguish the whole home,2
Turn off all the room lights in the house,2
Darken up the entire place,2
Turn off the lights in the entire home,2
Switch off all indoor lighting,2
Turn off house lights completely,2
Extinguish all the house,2
Turn off all lights in every part of the house,2
Extinguish the home everywhere,2
Turn off the indoor lighting everywhere,2
Darken up all the corners,2
Turn off lighting in all rooms in the house,2
Switch off lighting in every room,2
Turn off every room light in the house,2
Extinguish every space in the home,2
Turn off lights in all the rooms in the house,2
Extinguish every room completely,2
Turn off the lights everywhere in the home,2
Power down every light in the house,2
Turn off all indoor lighting in the house,2
Darken the entire building,2
Turn off lighting in every corner of the house,2
Switch off the room lights in the house,2
Turn off all lighting throughout the home,2
Extinguish all the rooms completely,2
Turn off house lights in the entire home,2
Extinguish every part of the home,2
Turn off the lights for all rooms in the house,2
Darken up each part of the house,2
Turn off indoor lights everywhere in the house,2
Switch off all lights in the entire home,2
Turn off the lighting in every room,2
Extinguish every corner in the house,2
Turn off all room lights in the home,2
Extinguish the house completely,2
Turn off the lights in all the rooms,2
Darken every room in the house,2
Turn off all indoor lights completely,2
Extinguish the whole house entirely,2
Turn off house lighting throughout the home,2
Extinguish the rooms in the house,2
Turn off lighting for the entire home,2
Switch off the lights in every part of the house,2
Turn off every light in the home,2
Extinguish all rooms everywhere,2
Turn off the lights in each part of the house,2
Darken up the rooms entirely,2
Turn off lighting in all the rooms,2
Extinguish the entire home everywhere,2
Turn off all house lights completely,2
Switch off every light in the house,2
Turn off indoor lights in every corner,2
Extinguish the entire home completely,2
Turn off lights in all corners of the house,2
Extinguish the home entirely,2
Turn off lighting everywhere in the house,2
Darken all rooms in the house,2
Turn off every light in all rooms,2
Extinguish the house everywhere,2
Turn off lights in every corner,2
Extinguish every room completely,2
Turn off lighting throughout the entire home,2
Turn off house lights in every part,2
Extinguish each part of the home,2
Turn off the lights completely,2
Darken up every space in the house,2
Turn off all the lights in each room,2
Extinguish the rooms completely,2
Turn off indoor lighting everywhere,2
Extinguish all spaces in the house,2
Turn off all the lights throughout the home,2
Switch off the lighting everywhere,2
Turn off the lights in the entire house,2
Darken every corner in the house,2
Turn off all room lighting in the house,2
Extinguish the entire house completely,2
Turn off the lights for the entire house,2
Extinguish the whole house everywhere,2
Turn off lighting in all rooms in the home,2
Switch off every room light,2
Turn off all the lights in the house,2
Extinguish the house everywhere,2
Turn off indoor lights completely,2
Extinguish every room entirely,2
Turn on all the fans,1
Switch on all the fans,1
Power on all the fans,1
Activate all the fans,1
Start all the fans,1
Fans on in all rooms,1
Turn on all fans,1
Fan on in each room,1
Power up all the fans,1
Activate the fans,1
Start the fans in all rooms,1
Turn on every fan,1
Switch on every fan,1
Power up the fans,1
Activate every fan,1
Start all room fans,1
Turn on house fans,1
Switch on house fans,1
Power on every fan,1
Activate the house fans,1
Turn on the fans in each room,1
Turn on house fans in all rooms,1
Turn on every room fan,1
Activate all room fans,1
Power on room fans,1
Turn on the fans in the entire house,1
Switch on room fans,1
Turn on each fan,1
Activate fans in all rooms,1
Start the fans in each room,1
Fan on throughout the house,1
Turn on all the fans in the house,1
Power up the fans in each room,1
Activate house fans everywhere,1
Turn on all indoor fans,1
Fans on in every room,1
Switch on fans in every room,1
Start fans in all rooms,1
Turn on every house fan,1
Turn on all the room fans,1
Power up house fans,1
Activate the fans in all rooms,1
Fans on throughout the house,1
Turn on the indoor fans,1
Turn on all the fans inside,1
Start house fans in every room,1
Switch on each fan,1
Power on all room fans,1
Fans on in the entire house,1
Activate the room fans,1
Turn on the fans in the house,1
Turn on the house fans,1
Power on indoor fans,1
Start the fans everywhere,1
Turn on every fan in the house,1
Turn on all fans in the house,1
Switch on all room fans,1
Turn on the fans everywhere,1
Fans on in each room,1
Power up the fans everywhere,1
Activate fans throughout the house,1
Turn on every room's fan,1
Start fans in every room,1
Switch on house fans everywhere,1
Turn on indoor fans in every room,1
Power on fans in all rooms,1
Turn on all the fans in each room,1
Activate indoor fans,1
Fans on in the house,1
Turn on every fan in each room,1
Start the house fans,1
Turn on room fans everywhere,1
Power up every fan,1
Turn on all house fans in the rooms,1
Activate the fans in the house,1
Switch on the fans in each room,1
Turn on indoor fans everywhere,1
Turn on the fans throughout the house,1
Turn on the fans in every room,1
Power on all the room fans,1
Turn on house fans in every room,1
Activate all the fans in the house,1
Start the fans in the house,1
Turn on fans in every room,1
Switch on every room's fan,1
Turn on fans everywhere,1
Turn on the fans in all rooms,1
Power up house fans in every room,1
Activate the indoor fans,1
Turn on fans in the entire house,1
Turn on the fans inside the house,1
Start all fans in every room,1
Switch on indoor fans in every room,1
Power on the fans in each room,1
Activate room fans everywhere,1
Turn on fans in the house,1
Turn on the house fans everywhere,1
Power up fans in the rooms,1
Start the fans in all the rooms,1
Switch on the fans in the entire house,1
Turn on fans in all the rooms,1
Turn on every fan in the home,1
Activate house fans in every room,1
Power up the fans in all rooms,1
Turn on all the fans in the home,1
Switch on all the indoor fans,1
Turn on the room fans everywhere,1
Activate every house fan,1
Power on the house fans,1
Start indoor fans everywhere,1
Turn on fans throughout the home,1
Switch on fans in all the rooms,1
Turn on the fans in every part of the house,1
Power up fans in every room,1
Activate all fans in the house,1
Turn on all the fans inside the house,1
Turn on fans in every corner,1
Start every fan in the house,1
Turn on house fans throughout the home,1
Turn on the indoor fans in all rooms,1
Activate the room fans in the house,1
Switch on house fans in every room,1
Turn on the fans for the whole house,1
Power on the fans everywhere,1
Turn on all the room fans in the house,1
Turn on the fans completely,1
Turn on fans everywhere in the house,1
Activate fans in the home,1
Switch on indoor fans in the house,1
Turn on the fans for all the rooms,1
Turn on the fans entirely,1
Start the fans in the whole house,1
Turn on fans in the entire home,1
Power up every fan in each room,1
Turn on every fan in the entire house,1
Activate every indoor fan,1
Turn on fans in each part of the house,1
Turn on house fans in each room,1
Start the fans in all rooms,1
Turn on indoor fans in the home,1
Switch on every house fan,1
Turn on the fans for each room,1
Power up fans in each room,1
Activate the fans throughout the house,1
Turn on all the fans throughout the house,1
Turn on house fans in all parts of the house,1
Turn on fans everywhere in the house,1
Switch on the room fans,1
Power on fans everywhere,1
Turn on all fans throughout the home,1
Activate all the room fans,1
Turn on the fans in the entire home,1
Start the room fans,1
Turn on every fan in every room,1
Turn on house fans in the entire house,1
Power up fans throughout the house,1
Switch on all the fans inside,1
Turn on fans for all rooms,1
Turn on the fans in every room of the house,1
Activate house fans in the entire house,1
Turn on the fans inside the home,1
Switch on fans in the house,1
Turn on every fan throughout the house,1
Turn on indoor fans throughout the house,1
Start every room's fan,1
Turn on all room fans throughout the house,1
Power up the indoor fans,1
Activate the fans in each room,1
Turn on all fans throughout the house,1
Switch on fans throughout the house,1
Turn on the fans for every room,1
Turn on fans in the home,1
Turn on all fans inside the house,1
Activate all fans in every room,1
Turn on the house fans in all rooms,1
Start house fans everywhere,1
Turn on all room fans completely,1
Switch on indoor fans in the home,1
Turn on the fans throughout the home,1
Power up the fans throughout the house,1
Turn on fans in every part of the house,1
Activate fans in each room of the house,1
Turn on all house fans in every room,1
Switch on every room fan in the house,1
Turn on fans in the entire house completely,1
Turn on indoor fans in each room,1
Turn on all fans everywhere,1
Power up the room fans everywhere,1
Turn on house fans in every part of the house,1
Activate every room fan,1
Turn on the fans in the home everywhere,1
Turn on fans throughout the entire house,1
Switch on the fans in every part of the house,1
Turn on the fans for all rooms in the house,1
Turn on fans in all corners,1
Start the indoor fans everywhere,1
Turn on all house fans in every part,1
Power up all the house fans,1
Turn on every indoor fan in the house,1
